1,1,1418.393,319.759,98.028,165.604,0.893612,-1,-1,-1
1,2,750.830,451.911,71.888,172.684,0.891221,-1,-1,-1
1,3,259.572,438.395,71.354,172.140,0.886437,-1,-1,-1
1,4,1463.852,472.665,78.852,172.920,0.886265,-1,-1,-1
1,5,1408.075,702.005,115.246,187.642,0.883740,-1,-1,-1
1,6,199.864,43.765,68.171,119.668,0.879632,-1,-1,-1
1,7,706.253,239.741,60.711,150.882,0.876133,-1,-1,-1
1,8,666.086,649.423,78.915,206.378,0.874492,-1,-1,-1
1,9,1673.435,11.276,51.959,130.105,0.872316,-1,-1,-1
1,10,31.586,796.072,109.726,194.914,0.871593,-1,-1,-1
1,11,1793.354,144.555,58.699,130.505,0.869785,-1,-1,-1
1,12,567.647,276.058,60.767,135.992,0.866364,-1,-1,-1
1,13,1091.250,45.828,42.189,100.595,0.863388,-1,-1,-1
1,14,1612.491,16.521,40.695,110.477,0.859956,-1,-1,-1
1,15,928.897,174.038,56.380,132.188,0.859725,-1,-1,-1
1,16,798.783,78.560,49.353,126.973,0.855695,-1,-1,-1
1,17,359.167,27.149,44.788,115.019,0.849810,-1,-1,-1
1,18,1204.102,127.916,49.362,140.317,0.846726,-1,-1,-1
1,19,1580.240,18.202,40.429,107.413,0.846372,-1,-1,-1
1,20,1140.947,950.456,104.333,129.533,0.845780,-1,-1,-1
1,21,852.856,70.572,40.898,129.527,0.842242,-1,-1,-1
1,22,905.398,0.062,35.292,84.497,0.839559,-1,-1,-1
1,23,1139.044,504.426,73.464,153.302,0.838586,-1,-1,-1
1,24,1386.081,55.236,36.893,130.818,0.837566,-1,-1,-1
1,25,728.913,0.268,44.119,109.519,0.828334,-1,-1,-1
1,26,1164.863,149.367,45.499,134.326,0.827855,-1,-1,-1
1,27,1303.699,7.717,40.671,102.705,0.822625,-1,-1,-1
1,28,990.287,102.257,48.636,133.350,0.819582,-1,-1,-1
1,29,891.461,89.792,43.580,124.832,0.817872,-1,-1,-1
1,30,569.453,201.898,49.887,116.503,0.817164,-1,-1,-1
1,31,1721.691,78.777,60.119,147.931,0.816838,-1,-1,-1
1,32,1690.316,149.875,59.866,134.724,0.812028,-1,-1,-1
1,33,92.609,131.120,52.168,119.892,0.809227,-1,-1,-1
1,34,1400.356,0.000,39.955,98.082,0.807607,-1,-1,-1
1,35,139.898,0.099,52.535,53.401,0.805158,-1,-1,-1
1,36,1819.663,0.005,37.624,53.009,0.792779,-1,-1,-1
1,37,1896.671,91.019,23.317,106.287,0.790739,-1,-1,-1
1,38,379.707,491.773,131.643,182.693,0.780297,-1,-1,-1
1,39,1278.037,47.067,34.818,77.082,0.741259,-1,-1,-1
1,40,343.778,496.285,74.120,149.296,0.668701,-1,-1,-1
1,41,784.378,0.001,30.964,15.401,0.651748,-1,-1,-1
1,42,1854.836,707.011,65.162,184.045,0.644265,-1,-1,-1
1,43,294.122,0.000,43.063,13.969,0.455351,-1,-1,-1
2,1,1422.514,322.750,96.765,162.514,0.892956,-1,-1,-1
2,3,256.967,442.214,70.623,167.878,0.882432,-1,-1,-1
2,4,1467.149,478.281,77.311,171.299,0.882031,-1,-1,-1
2,2,754.031,445.257,70.334,174.121,0.876347,-1,-1,-1
2,10,34.789,798.844,109.052,193.792,0.874218,-1,-1,-1
2,6,206.384,39.842,61.877,117.731,0.873778,-1,-1,-1
2,11,1794.103,148.763,58.924,129.900,0.873389,-1,-1,-1
2,7,708.872,233.847,56.930,142.337,0.872184,-1,-1,-1
2,5,1401.960,703.332,117.689,185.836,0.870923,-1,-1,-1
2,9,1675.447,11.845,51.455,129.521,0.865215,-1,-1,-1
2,12,569.000,281.276,60.922,134.349,0.863130,-1,-1,-1
2,15,928.496,177.658,57.316,136.764,0.862795,-1,-1,-1
2,13,1091.992,47.329,41.878,103.300,0.861652,-1,-1,-1
2,14,1613.495,16.329,40.744,111.849,0.858918,-1,-1,-1
2,20,1141.043,939.818,103.023,140.182,0.857428,-1,-1,-1
2,16,799.537,77.736,51.458,124.532,0.857307,-1,-1,-1
